use_policy,architecture,hidden_layers,parameters,n_input,seed,fold,battery_id,rmse,mae
False,linear,none,600,11,20260817,3,26,0.00020940188230373456,0.00016779541329015046
False,linear,none,600,11,20260817,3,33,0.00020747509555777314,0.00016255259106401354
False,linear,none,600,11,20260817,3,34,6.420744192251154e-05,5.20443900313694e-05
False,linear,none,600,11,20260817,3,35,0.0005136764942984768,0.0004291081568226218
False,linear,none,600,11,20260817,3,37,0.00031114302825112117,0.0002570426440797746
False,linear,none,600,11,20260817,4,4,0.0004494549726783729,0.0003407585609238595
False,linear,none,600,11,20260817,4,15,0.0002993763365955132,0.0002284705697093159
False,linear,none,600,11,20260817,4,19,0.00016784048839483317,0.00013297796249389648
False,linear,none,600,11,20260817,4,27,0.0001763023781773699,0.0001553225447423756
False,linear,none,600,11,20260817,4,29,7.734794760092477e-05,6.607174873352051e-05
False,linear,none,600,11,20260817,4,43,0.0005788298844931588,0.0004964041872881353
False,linear,none,600,11,20260817,4,44,0.00028191908196359953,0.00021186351659707725
False,linear,none,600,11,20260817,4,48,0.00025020411213228297,0.00019994855392724276
False,linear,none,600,11,20260817,5,18,0.0003348013324057221,0.0002715206064749509
False,linear,none,600,11,20260817,5,21,0.00015390403474560324,0.00012621283531188965
False,linear,none,600,11,20260817,5,28,7.338077699863287e-05,6.288290023803711e-05
False,linear,none,600,11,20260817,5,31,7.399366611739758e-05,6.0685873904731125e-05
False,linear,none,600,11,20260817,5,32,0.00015670464667561082,0.00013988971477374434
False,linear,none,600,11,20260817,5,36,6.327409596609639e-05,5.1827431889250875e-05
False,linear,none,600,11,20260817,5,39,6.246190321954715e-05,4.920482751913369e-05
False,linear,none,600,11,20260817,5,46,0.00047401332673330785,0.0003999638429377228
False,bottleneck_4,4,298,11,20260815,1,1,0.0022672670728128416,0.00159563182387501
False,bottleneck_4,4,298,11,20260815,1,6,0.0002346333415808903,0.000204341413336806
False,bottleneck_4,4,298,11,20260815,1,12,0.00027828304999513584,0.00020403385860845447
False,bottleneck_4,4,298,11,20260815,1,13,0.00018371211299242785,0.00015765070565976202
False,bottleneck_4,4,298,11,20260815,1,20,0.00013962287212911586,0.00013339042197912931
False,bottleneck_4,4,298,11,20260815,1,22,3.5258677531180404e-05,2.6384592274553142e-05
False,bottleneck_4,4,298,11,20260815,1,47,0.0001948287843356174,0.00016350745863746852
False,bottleneck_4,4,298,11,20260815,1,49,0.0001634827684722026,0.0001331782405031845
False,bottleneck_4,4,298,11,20260815,2,3,0.005531822378266165,0.0048928093165159225
False,bottleneck_4,4,298,11,20260815,2,17,0.00026537535494617747,0.00022802353487350047
False,bottleneck_4,4,298,11,20260815,2,30,0.000349010273002239,0.00024203538487199694
False,bottleneck_4,4,298,11,20260815,2,38,7.463528885464377e-05,5.8922767493641004e-05
False,bottleneck_4,4,298,11,20260815,2,40,0.00010348977352730998,8.555888780392706e-05
False,bottleneck_4,4,298,11,20260815,2,41,0.0001771791152213643,0.00012373566278256476
False,bottleneck_4,4,298,11,20260815,2,42,0.0001573193662187388,0.00012625932868104428
False,bottleneck_4,4,298,11,20260815,2,45,3.856924722488793e-05,3.0343531761900522e-05
False,bottleneck_4,4,298,11,20260815,3,7,0.0006908393396546632,0.0005134785315021873
False,bottleneck_4,4,298,11,20260815,3,8,0.006663361417275077,0.005804265849292278
False,bottleneck_4,4,298,11,20260815,3,23,0.00035107937238576417,0.00027806044090539217
False,bottleneck_4,4,298,11,20260815,3,26,0.0007631209276853597,0.0006422793958336115
False,bottleneck_4,4,298,11,20260815,3,33,0.00019061704252511458,0.00014492153422906995
False,bottleneck_4,4,298,11,20260815,3,34,0.0001316888988692001,7.82561328378506e-05
False,bottleneck_4,4,298,11,20260815,3,35,0.0006783111442429514,0.0006572604179382324
False,bottleneck_4,4,298,11,20260815,3,37,0.0003022429115943379,0.0002544283925089985
