cutoff,model,policy,n_batteries,RMSE,MAE
125,Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003628129873384948,0.0002864767480510195
125,Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003461145579527423,0.0002886142165209806
125,Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0004159179038213252,0.00033423430675464576
125,Linear-Nested,80PER_3_6C,2,0.0011375617982506997,0.0007858717201074039
125,Same-policy mean delta,3_6C-80PER_3_6C,2,0.0021459282287372675,0.001195374463845602
125,Same-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.002278185566028991,0.0019753848823255505
125,Same-policy mean delta,4_8C_80PER_4_8C,2,0.0014173522978323874,0.001209073506419478
125,Same-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00037144786936698466,0.0002721945210597889
125,Same-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.00023485283771396663,0.00017908912527020093
125,Same-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00029870191761933003,0.0002207460784573805
125,Same-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002880097960069305,0.00022833663574304877
125,Same-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002899615779475585,0.00021766278174327304
125,Same-policy mean delta,80PER_3_6C,2,0.004097180507763583,0.0034798019917216694
150,Persistence,3_6C-80PER_3_6C,2,0.0025809521414135606,0.001630050498444925
150,Persistence,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.005435475241700283,0.004615349612362002
150,Persistence,4_8C_80PER_4_8C,2,0.00394318593393883,0.0033091744694082516
150,Persistence,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.000966778708067552,0.0008240073673372122
150,Persistence,5C_67PER_4C_NEWSTRUCTURE,6,0.001035643851296373,0.0008857843440943207
150,Persistence,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0009439537149370606,0.0008049606708016443
150,Persistence,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.001330394127413061,0.0011470559105565142
150,Persistence,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0012085857108780041,0.0010289112947063333
150,Persistence,80PER_3_6C,2,0.004156629469484168,0.0030750560305954143
150,Linear-10,3_6C-80PER_3_6C,2,0.00527772743448358,0.003252238671173929
150,Linear-10,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0005761343024656157,0.0005140322363132277
150,Linear-10,4_8C_80PER_4_8C,2,0.0006133588275128501,0.0004930052880075708
150,Linear-10,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0012117568165096603,0.0007156236655002118
150,Linear-10,5C_67PER_4C_NEWSTRUCTURE,6,0.000524318091084555,0.00040785526583089944
150,Linear-10,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0011739824677113703,0.0007761450874874584
150,Linear-10,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.000862979899728986,0.000621266800962143
150,Linear-10,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.001419769191205072,0.0010982431304663895
150,Linear-10,80PER_3_6C,2,0.003129867261338991,0.0026177106032582364
150,Linear-20,3_6C-80PER_3_6C,2,0.002219443782979522,0.001098751555255657
