cutoff,model,horizon_bin,RMSE,MAE
150,Linear-20,11-20,0.0005890435756208007,0.0003831952349192305
150,Linear-20,21-30,0.0007943612076212295,0.0004360121084618043
150,Linear-20,31-40,0.0006078305387098408,0.0005087567778704696
150,Linear-20,41-50,0.0011063287352135664,0.0007787384617294326
150,Linear-30,1-10,0.00037595434042349903,0.00023966332210376473
150,Linear-30,11-20,0.0004950824516857027,0.0002890994552520987
150,Linear-30,21-30,0.000624332204813564,0.0003094570512180483
150,Linear-30,31-40,0.0005727757583524906,0.0003998254227210865
150,Linear-30,41-50,0.0008180134417098388,0.0005581973455450772
150,Linear-50,1-10,0.0002897149953715455,0.00016773392026110472
150,Linear-50,11-20,0.0004483509342697488,0.0002504430269985358
150,Linear-50,21-30,0.0006591642687742607,0.0003174529524504649
150,Linear-50,31-40,0.0004666640536421993,0.00030406206908533654
150,Linear-50,41-50,0.0008237529592249038,0.0005115488675053817
150,Linear-Nested,1-10,0.00033596938936667425,0.00018146434686272279
150,Linear-Nested,11-20,0.0005024247753512249,0.000274874075857178
150,Linear-Nested,21-30,0.0006754749004549507,0.00033502004357371576
150,Linear-Nested,31-40,0.0005529710758261503,0.00033757121681132177
150,Linear-Nested,41-50,0.000877054011400946,0.0005517041442649237
150,Same-policy mean delta,1-10,0.00035026964647716765,0.00019431711594952107
150,Same-policy mean delta,11-20,0.0008651093384628585,0.0004501244443109781
150,Same-policy mean delta,21-30,0.001432664707316031,0.0006878937250517789
150,Same-policy mean delta,31-40,0.0014010840633303845,0.0007064371792899654
150,Same-policy mean delta,41-50,0.002046139292638461,0.0010639137567316902
