battery_id,policy,cutoff,fit_start,model,EOL_threshold,EOL_cycle,EOL_lower_90,EOL_upper_90,bootstrap_valid,bootstrap_repetitions,fit_RMSE,derivative_max,monotonic_constraint_satisfied,params_json
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,1,linear,0.8,10013.240427873732,8750.050104275178,12566.77085940544,40,40,0.0007836036831091833,-1.9999974216796057e-05,True,"[1.0002645503840546, 1.9999974216796057e-05]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,1,power,0.8,604.1379894199467,568.7789109906591,870.6125498112789,40,40,0.000583804645107256,-3.858880801001731e-09,True,"[0.9995784814893924, 1.3116196254065162e-09, 2.9420730875429912]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,1,exponential,0.8,11161.52457680774,9306.106942437276,13701.499893710834,40,40,0.0007838083549174553,-1.9961194273509397e-05,True,"[1.000264648735142, 2.0015918389882596e-05]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,20,linear,0.8,7533.09445692977,7060.869780599279,8341.052006025442,40,40,0.00029171757769981625,-2.6675710006570733e-05,True,"[1.000950643185164, 2.6675710006570733e-05]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,20,power,0.8,922.1732499838888,784.9665840532763,1105.0297324181665,40,40,0.00014555188580563986,-4.500228890417448e-06,True,"[0.9999527673967231, 5.250706534926831e-08, 2.219603981147106]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,20,exponential,0.8,8391.727514285782,7630.578516084497,9121.942416001706,40,40,0.0002921167637297588,-2.6622877491391944e-05,True,"[1.0009521637264847, 2.6704306311050384e-05]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,50,linear,0.8,6136.840107261472,5794.247857903409,6481.311986683388,40,40,0.00017702028436419138,-3.285673599347088e-05,True,"[1.0016365352384338, 3.285673599347088e-05]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,50,power,0.8,1288.665959695433,946.3151473120503,1571.0416200292168,40,40,0.00013943350157876328,-1.8357577355112592e-05,True,"[1.000256476957178, 3.6327424303794166e-07, 1.8460105675324927]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,50,exponential,0.8,6831.216918218706,6371.394243913771,7240.717972065305,40,40,0.00017727824106087748,-3.27969986207398e-05,True,"[1.001640919670426, 3.290528303199403e-05]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,80,linear,0.8,5505.713336921525,5190.969576413878,5822.456311196721,40,40,0.000177224181590619,-3.670805643708517e-05,True,"[1.002104035898128, 3.670805643708517e-05]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,80,power,0.8,1019.7539138710898,611.9556098779725,1721.1223424729255,40,40,0.00016307407155919287,-2.4525352528284928e-05,True,"[0.9999562692911318, 8.967108371644178e-08, 2.110118781383783]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,150,80,exponential,0.8,6125.140190986448,5850.196431543275,6707.595503494715,40,40,0.00017733008361947304,-3.665004013593675e-05,True,"[1.0021114490017646, 3.677512143669961e-05]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,1,linear,0.8,985.7687712737687,969.6960117170996,1009.4107353762352,40,40,0.0006798896454328956,-0.0002055214864637484,True,"[1.0025966631817278, 0.0002055214864637484]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,1,power,0.8,715.2154239795988,704.6249827563461,730.2838059169884,40,40,0.0002542517280016571,-8.068480337798771e-05,True,"[1.0005859213589674, 6.61468999406272e-05, 1.2197820827644166]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,1,exponential,0.8,1084.7419398360478,1066.5607016147976,1106.4805122275463,40,40,0.000711273779737005,-0.00020231805020197005,True,"[1.002679122226851, 0.00020817770826152553]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,20,linear,0.8,958.0862999832071,947.1537363576537,973.7071439283521,40,40,0.00035729996515652653,-0.00021217675791727601,True,"[1.0032836449353957, 0.00021217675791727601]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,20,power,0.8,743.0798374605193,729.9515557959256,760.1105637049052,40,40,0.00014558585322782533,-0.00016363711957066647,True,"[1.0009501449659628, 7.89733465833236e-05, 1.186194948996046]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,20,exponential,0.8,1052.214508473728,1035.0200528423813,1070.634682047611,40,40,0.0003836393839981861,-0.0002091780749417182,True,"[1.0034135844874512, 0.00021530906571123006]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,50,linear,0.8,926.1392349069582,919.0387127985779,935.8647882115442,40,40,0.00019374278114342634,-0.0002205004877623281,True,"[1.0042141530328137, 0.0002205004877623281]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,50,power,0.8,774.0848574399806,743.2372751540686,814.3736002522699,40,40,0.00014649973542554034,-0.00019982674865632707,True,"[1.0015963385007853, 9.819936642983609e-05, 1.146630801012719]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,50,exponential,0.8,1013.7486355696815,1004.2189158802316,1025.6435570340636,40,40,0.00020608294140406566,-0.00021801828561762027,True,"[1.0044404978376693, 0.00022448781803050853]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,80,linear,0.8,908.2010066534548,901.0250029374123,914.5872663587841,40,40,0.00015297692069535552,-0.0002255233862302232,True,"[1.0048205663981846, 0.0002255233862302232]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,80,power,0.8,909.8484385619937,824.6210771499418,1011.7475678448403,40,40,0.0001529647918518261,-0.0002254296193238055,True,"[1.00485874421505, 0.0002274838696363786, 0.9984909760424264]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,150,80,exponential,0.8,990.8830578079078,984.9951235857732,998.8794968335155,40,40,0.00015309045171249942,-0.00022370826773730534,True,"[1.005155762285269, 0.00023038648846162058]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,1,linear,0.8,13755.867154857195,11300.318888120055,17075.925675090508,40,40,0.000646350408047065,-1.4547237176488664e-05,True,"[1.000109862069978, 1.4547237176488664e-05]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,1,power,0.8,704.8383685216209,627.5610669579178,1088.5335511833127,40,40,0.0005206877981365962,-4.094791668663807e-09,True,"[0.9996221883437755, 1.431966885951044e-09, 2.859557514100085]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,1,exponential,0.8,15336.522229517026,13276.411093522447,20914.041415634885,40,40,0.0006464464836133935,-1.4526826675502866e-05,True,"[1.0001099209049595, 1.455698122672365e-05]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,20,linear,0.8,10080.879052153656,9387.233056929059,10887.151609982682,40,40,0.00016954474805950056,-1.990502582229064e-05,True,"[1.0006601578445073, 1.990502582229064e-05]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,20,power,0.8,1378.5088843295787,1016.5162034221133,1767.5743228681206,40,40,8.761139151227048e-05,-5.03723912955569e-06,True,"[0.9999969915949378, 1.490578708472196e-07, 1.9518538164536432]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,20,exponential,0.8,11233.251392002967,10372.39008680686,12078.964801048545,40,40,0.00016976172613695193,-1.987707100661282e-05,True,"[1.0006611246882056, 1.9923390810526297e-05]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,50,linear,0.8,8581.933984123581,8008.123613926029,9124.228420396226,40,40,0.00011202910863256081,-2.3427379101944807e-05,True,"[1.0010522208739268, 2.3427379101944807e-05]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,50,power,0.8,1652.9163670356545,1114.9127608312863,2341.9629251440665,40,40,8.850892706763329e-05,-1.3587345602054001e-05,True,"[1.0001017054193553, 3.42227163683697e-07, 1.7919474046835004]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,50,exponential,0.8,9558.153126924373,9026.916533147883,10190.188793044657,40,40,0.00011215853211998606,-2.3398427563728734e-05,True,"[1.0010545883506812, 2.345616156176663e-05]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,80,linear,0.8,7744.763612548021,6968.538150410352,8510.843630902438,40,40,0.00011069597542230481,-2.600056033441913e-05,True,"[1.0013681935838687, 2.600056033441913e-05]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,80,power,0.8,855.9222158668631,673.9486441213256,1879.4407037067201,40,40,9.079293128577106e-05,-1.4592541220410885e-05,True,"[0.9996063217281111, 5.921569348609657e-09, 2.567060914177694]"
36,5_3C_54PER_4C_NEWSTRUCTURE,150,80,exponential,0.8,8621.485935878098,7879.113142772494,9468.497101876326,40,40,0.00011076776538764658,-2.5975406274532975e-05,True,"[1.0013723640279295, 2.6041331642958413e-05]"
37,5C_67PER_4C_NEWSTRUCTURE,150,1,linear,0.8,8859.619342524093,8004.649696845506,9998.537313177654,40,40,0.0005552718698033138,-2.2616504679416017e-05,True,"[1.0003736223180408, 2.2616504679416017e-05]"
37,5C_67PER_4C_NEWSTRUCTURE,150,1,power,0.8,954.5217517758731,685.6482682457818,1314.3226721315987,40,40,0.0004001279664096952,-1.2142835494783e-07,True,"[0.999722934746225, 5.516765458001971e-08, 2.2010788001092254]"
37,5C_67PER_4C_NEWSTRUCTURE,150,1,exponential,0.8,9872.576565161284,8553.647115796315,10810.533025740771,40,40,0.0005555552720516018,-2.2571935815386308e-05,True,"[1.0003741290475405, 2.2640250892729108e-05]"
37,5C_67PER_4C_NEWSTRUCTURE,150,20,linear,0.8,7216.655752089454,6827.101059976393,7661.7503876842275,40,40,0.00018093603400742817,-2.784010579683817e-05,True,"[1.0009124596375312, 2.784010579683817e-05]"
37,5C_67PER_4C_NEWSTRUCTURE,150,20,power,0.8,1748.27391936242,1399.4780679137991,2325.462023037152,40,40,0.00011231588623997657,-1.147411849771851e-05,True,"[1.0001756790493534, 1.094080669681488e-06, 1.6228787338770496]"
37,5C_67PER_4C_NEWSTRUCTURE,150,20,exponential,0.8,8037.2735954469235,7437.84453821609,8502.137858188476,40,40,0.0001813157797571958,-2.778636713774166e-05,True,"[1.0009144329289106, 2.7877309854297054e-05]"
37,5C_67PER_4C_NEWSTRUCTURE,150,50,linear,0.8,6341.118818349857,6164.519004294695,6514.005051245211,40,40,9.448967409904232e-05,-3.1752683699677395e-05,True,"[1.0013475401411351, 3.1752683699677395e-05]"
