window_end,use_policy,fold,battery_id,method,rmse,mae,r2
100,False,5,39,torch_mlp,6.176032762403034e-05,5.070218743639998e-05,0.9820671795481472
100,False,2,40,torch_mlp,6.351927243244565e-05,5.287948464683723e-05,0.9868553611382515
100,False,2,41,torch_mlp,0.0001852817586130321,0.00014159274578560144,0.8480497264887209
100,False,2,42,torch_mlp,0.00015210960798827433,0.00012293344287172658,0.7544040675412148
100,False,4,43,torch_mlp,0.0003605494097770907,0.00027989973365038167,0.4496373160856598
100,False,4,44,torch_mlp,2.8891675617888114e-05,2.438181640172843e-05,0.9971535287063661
100,False,2,45,torch_mlp,7.816059249366406e-05,6.642263397225179e-05,0.9423892380597925
100,False,5,46,torch_mlp,0.00015723759390941051,0.00013795891717109044,0.7865825433090986
100,False,1,47,torch_mlp,7.833924734155358e-05,6.847249787824694e-05,0.9302198462747767
100,False,4,48,torch_mlp,0.00038724902849430017,0.0003411230996425729,-0.9046930120345928
100,False,1,49,torch_mlp,0.0003504401856532037,0.00031805343787709716,-0.7876451818920154
100,True,1,1,linear_tail,0.000619067916532319,0.0004233236523785733,0.28659113370557665
100,True,2,3,linear_tail,0.00013703229831572354,0.00012463330684900464,0.7923365085462565
100,True,4,4,linear_tail,0.0015882092213538276,0.0013913153120666722,0.6472647580294696
100,True,1,6,linear_tail,0.0001464374710203729,0.00010288669193999178,0.9135990545232282
100,True,3,7,linear_tail,0.0009450428620932572,0.0008175894241685322,-0.10579450396427448
100,True,3,8,linear_tail,0.0016298505144497271,0.0014086378804022838,0.17250189791951775
100,True,1,12,linear_tail,0.0001959123675016653,0.00018623839106501227,0.7703971301743499
100,True,1,13,linear_tail,0.0001403331087955208,0.00010730358475448787,0.8671495665870474
100,True,4,15,linear_tail,0.00016802873877123345,0.00013017699314779918,0.907195396694409
100,True,2,17,linear_tail,0.00019474646908863023,0.0001782826048205166,0.2902427206568309
100,True,5,18,linear_tail,0.00012218417999740927,9.293524873200676e-05,0.935012528442487
100,True,4,19,linear_tail,6.280397891389187e-05,5.5633036995264004e-05,0.941835350029233
100,True,1,20,linear_tail,9.971668869549262e-05,8.813671297381199e-05,0.9148749996743437
100,True,5,21,linear_tail,0.00018741254884995697,0.000150264616060094,0.9090650314459768
100,True,1,22,linear_tail,0.00011765865648121197,0.00010362214740968546,0.8268229788744574
100,True,3,23,linear_tail,0.00022906999703132015,0.00020129479872880608,0.8586251943768969
100,True,3,26,linear_tail,0.0003713596045279252,0.0003133360103377636,0.3368233634652805
100,True,4,27,linear_tail,0.00032315541514101845,0.0002827571563865572,0.4399045414815035
100,True,5,28,linear_tail,0.00016549745385242975,0.0001445635693166092,0.8831150964219721
100,True,4,29,linear_tail,0.00015784604748645791,0.00012985371068380714,0.8660196009574257
100,True,2,30,linear_tail,0.0002892891618441953,0.00023591878784357646,0.9812590861045717
100,True,5,31,linear_tail,0.00047206855508651166,0.0004222767642874725,-0.1782682090376475
100,True,5,32,linear_tail,0.00048592761790564265,0.0004283861147368739,-0.2273589262697926
100,True,3,33,linear_tail,0.00037844441297592144,0.0003377932597665212,0.2541594381028186
100,True,3,34,linear_tail,0.0003611103791794303,0.00029538146338676353,0.619951048238492
100,True,3,35,linear_tail,0.0006379915331391127,0.0006029206187201485,0.9609224135998883
100,True,5,36,linear_tail,0.00020672292841577474,0.0001471174526675334,0.7631575679612354
100,True,3,37,linear_tail,0.00010721558198809515,8.780523234845905e-05,0.943937520865655
100,True,2,38,linear_tail,7.542136096704847e-05,6.523089526704107e-05,0.9794001954783456
100,True,5,39,linear_tail,9.534559961471934e-05,7.646554252280113e-05,0.9572603731103059
100,True,2,40,linear_tail,6.617603730226213e-05,5.7841838111334366e-05,0.9857327870341994
100,True,2,41,linear_tail,0.00024385129388928797,0.00022661898774908095,0.7367997566989344
100,True,2,42,linear_tail,0.00011975061103195937,0.00010197674617905328,0.8477829321844551
100,True,4,43,linear_tail,7.221311271691326e-05,6.004288408008485e-05,0.9779224166550068
100,True,4,44,linear_tail,0.00020938374674952585,0.00018203758991204523,0.8504979038845351
100,True,2,45,linear_tail,0.00027518361306543427,0.00022893436331953288,0.28587691851869335
100,True,5,46,linear_tail,0.00017503207174243498,0.00014886261406397817,0.7355446071938916
100,True,1,47,linear_tail,0.0004129322793305858,0.0003838908220393411,-0.9387901266436736
100,True,4,48,linear_tail,6.979699910475538e-05,6.25506158496858e-05,0.9381246289857849
100,True,1,49,linear_tail,9.925847402343432e-05,7.902961059337299e-05,0.8565869382999278
100,True,1,1,torch_mlp,0.00036112269831388004,0.0002726494400849333,0.7572431564734148
100,True,2,3,torch_mlp,0.0014049573375287184,0.0011706048077394372,-20.829336799001418
100,True,4,4,torch_mlp,0.000634251957437171,0.0005100711487466469,0.9437455272795618
100,True,1,6,torch_mlp,8.050289653437552e-05,6.888603726110886e-05,0.973888184496631
100,True,3,7,torch_mlp,0.0009065780453595477,0.000752709584630793,-0.01761103926211005
100,True,3,8,torch_mlp,0.002624830294672434,0.0022727166111872065,-1.146218421845648
100,True,1,12,torch_mlp,0.00023568399017836875,0.00020963661452697124,0.6677126786509089
100,True,1,13,torch_mlp,0.0001748335698044354,0.0001538110014371341,0.7937982562588736
100,True,4,15,torch_mlp,9.164902812988911e-05,7.719070643361192e-05,0.9723905273571682
100,True,2,17,torch_mlp,0.00017721835689571433,0.00014024612298626948,0.4122561655069976
100,True,5,18,torch_mlp,5.953841446877888e-05,5.003524929634295e-05,0.9845689949510417
100,True,4,19,torch_mlp,0.0002002777233173903,0.0001741500996558898,0.40850634213235604
100,True,1,20,torch_mlp,0.00013763813397950835,0.00011387098573322873,0.8378193704515798
100,True,5,21,torch_mlp,0.0002424414769145618,0.00019202367475372738,0.8478235570207273
